"note","user","startSession","clickInputNote","saveNote","cancelNote","updateNote","hoverTextarea","hoverEntityInNote","addEntity","addEntityRepeat","removeEntity","removeFromYear","removeFromChart","replyToNote","clickEditNote","selectCountry","deselectCountry","hoverCountryLabel","deselectAll","deleteNote","viewCountryNote","viewYearNote","removeFilter","viewDiscussion","removeDiscussion","showNotes","onlyShowMine","alsoShowPublic","hideNotes","dragNode","hoverNode","scrollToView","gotoQuestionnaire","checkQuestionnaire","checkTutorial","checkTask","toHidden","toVisible","hoverNoteInNote","hoverNoteText","selectYear","selectYearNote","play","playNote","stop","stopNote","hoverMapPoint","hoverMapPointNote","hoverTimeline","hoverTimelineNote","hoverSpecificYear","hoverSpecificYearNote","hoverYearLabel","hoverYearLabelNote","hoverMouseline","hoverMouselineNote"
"5ecd3bf2bccbe221a1629187",1,1,1,1,0,0,1,0,6,0,5,0,0,0,0,13,11,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5ecd3c73bccbe221a16291d8",1,1,3,2,1,0,3,0,11,0,7,0,0,0,0,16,14,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5ecd3d19bccbe221a162921d",1,1,4,3,1,0,4,0,12,0,7,0,0,0,0,26,21,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"5ecd3dbcbccbe221a1629265",1,1,5,4,1,0,5,0,14,0,7,0,0,0,0,33,32,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,3,0
"5ecd3e23bccbe221a162928a",1,1,6,5,1,0,7,0,16,0,8,0,0,0,0,58,35,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,3,0
"5ecedd05bccbe221a162c024",2,1,1,1,0,0,1,0,2,0,0,0,0,0,0,3,2,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
"5ecedeccbccbe221a162c046",2,1,2,2,0,0,2,0,5,0,1,0,0,0,0,8,6,2,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,6,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1
"5ecedf46bccbe221a162c052",2,1,3,3,0,0,4,0,8,0,1,0,0,0,0,12,10,2,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,9,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1
"5ecedfbabccbe221a162c06a",2,1,4,4,0,0,5,0,12,3,2,0,0,0,0,17,15,2,0,0,3,2,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,9,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1
"5ecee03cbccbe221a162c08c",2,1,5,5,0,0,7,0,14,3,2,0,0,0,0,26,24,2,0,0,4,3,2,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,9,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1
"5ecd64d7bccbe221a1629a57",3,1,2,1,1,0,3,0,2,0,1,0,0,0,0,3,1,0,0,0,0,0,0,0,0,2,1,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"5ecd6651bccbe221a1629ab5",3,1,4,2,2,0,9,0,5,0,1,0,0,0,0,8,6,1,0,0,0,0,0,0,0,4,1,1,3,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
"5ecd67e8bccbe221a1629af8",3,1,6,3,3,0,9,0,6,0,1,0,0,0,0,34,29,2,0,0,0,0,0,0,0,4,1,1,3,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1
"5ecd68febccbe221a1629b0f",3,1,7,4,3,2,10,0,7,0,1,0,0,0,2,39,37,3,0,0,0,0,0,0,0,4,1,1,3,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1
"5ecd6a61bccbe221a1629b47",3,1,8,5,3,2,12,0,15,6,5,0,0,0,2,49,46,3,0,0,0,0,0,0,0,4,1,1,3,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,1
"5ecc5c03bccbe221a162530a",4,1,0,1,1,0,1,0,4,0,1,0,0,2,0,18,15,0,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,3,2
"5ecc5e9bbccbe221a162553d",4,1,1,2,1,0,3,0,11,3,6,0,0,2,0,20,18,0,0,0,0,1,0,0,0,1,3,3,0,0,0,0,0,0,0,0,10,10,0,0,0,0,1,0,1,0,6,0,7,0,5,1,0,0,10,2
"5ecc6006bccbe221a1625613",4,1,2,3,2,0,4,0,15,5,6,0,0,3,0,22,20,1,0,0,1,1,2,0,0,1,6,6,0,0,0,0,0,0,0,1,15,15,0,0,0,0,1,0,1,0,9,0,8,0,7,1,1,0,15,3
"5ecc611fbccbe221a162569a",4,1,3,4,2,0,4,0,18,6,7,0,0,3,0,24,23,1,0,0,1,1,2,0,0,1,6,6,0,0,0,0,0,0,0,1,16,16,0,0,1,0,1,0,1,0,10,0,8,0,7,1,1,0,17,3
"5ecc61d9bccbe221a1625730",4,1,4,5,2,0,4,0,20,6,7,0,0,3,0,26,25,1,0,0,1,1,2,0,0,1,7,7,0,0,0,0,0,0,0,1,18,18,0,0,1,0,1,0,1,0,11,0,8,0,7,2,1,0,18,3
"5ecd7c16bccbe221a1629e69",5,1,6,5,1,4,5,0,9,0,0,1,0,0,4,2,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
